
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.4173445E+06   0.6460221E+03   0.1028176E+03   0.0000000E+00
      2   0.4224242E+06   0.6499417E+03   0.1034414E+03   0.0000000E+00
      3   0.4054638E+07   0.2013613E+04   0.3204765E+03   0.0000000E+00
      4   0.5043010E+07   0.2245665E+04   0.3574086E+03   0.0000000E+00
      5   0.1288910E+08   0.3590140E+04   0.5713885E+03   0.0000000E+00
      6   0.1291152E+08   0.3593260E+04   0.5718851E+03   0.0000000E+00
      7   0.3543507E+08   0.5952737E+04   0.9474075E+03   0.0000000E+00
      8   0.4406582E+08   0.6638209E+04   0.1056504E+04   0.0000000E+00
      9   0.6179107E+08   0.7860729E+04   0.1251074E+04   0.0000000E+00
     10   0.6202372E+08   0.7875514E+04   0.1253427E+04   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.5313315E-03   0.8924535E-01   0.5723544E-01   0.5908100E-05   0.2234910E-02  -0.3494015E-02
      2   0.2962003E-02   0.5706470E-01  -0.8913567E-01   0.3497000E-04  -0.3492504E-02  -0.2233123E-02
      3  -0.1222401E+00  -0.1868368E-02  -0.1734194E-02  -0.1384404E-03  -0.5554504E-04  -0.3440122E-04
      4  -0.1869804E-01  -0.8095453E-03   0.4757727E-02   0.9308316E-03   0.4099931E-04   0.1789962E-04
      5  -0.2407520E-02   0.3351136E-01   0.4873792E-01  -0.2167708E-04   0.5148684E-03  -0.3499147E-03
      6   0.2264563E-02  -0.4841700E-01   0.3409468E-01  -0.2977817E-04   0.3566101E-03   0.5168027E-03
      7  -0.4019412E-01  -0.2000569E-02  -0.4192276E-02  -0.5533080E-04  -0.4456788E-04  -0.9519103E-05
      8  -0.7517479E-02  -0.7102040E-03   0.7338977E-02   0.3033473E-03   0.2510510E-04   0.1096055E-04
      9  -0.1085438E-02  -0.2063631E-01   0.3045819E-01  -0.3006123E-04   0.1968788E-03   0.1364712E-03
     10   0.2116206E-02  -0.2916341E-01  -0.1996897E-01   0.1043314E-04  -0.1319024E-03   0.1975034E-03

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.2823132E-06   0.7964733E-02   0.3275896E-02   0.3490565E-10   0.4994821E-05   0.1220814E-04
      2   0.8773460E-05   0.3256380E-02   0.7945168E-02   0.1222901E-08   0.1219759E-04   0.4986837E-05
      3   0.1494265E-01   0.3490798E-05   0.3007428E-05   0.1916573E-07   0.3085251E-08   0.1183444E-08
      4   0.3496167E-03   0.6553635E-06   0.2263597E-04   0.8664475E-06   0.1680943E-08   0.3203964E-09
      5   0.5796154E-05   0.1123011E-02   0.2375385E-02   0.4698957E-09   0.2650894E-06   0.1224403E-06
      6   0.5128247E-05   0.2344206E-02   0.1162447E-02   0.8867391E-09   0.1271707E-06   0.2670850E-06
      7   0.1615568E-02   0.4002276E-05   0.1757518E-04   0.3061497E-08   0.1986296E-08   0.9061333E-10
      8   0.5651249E-04   0.5043897E-06   0.5386058E-04   0.9201957E-07   0.6302661E-09   0.1201336E-09
      9   0.1178175E-05   0.4258571E-03   0.9277015E-03   0.9036777E-09   0.3876127E-07   0.1862438E-07
     10   0.4478327E-05   0.8505047E-03   0.3987598E-03   0.1088505E-09   0.1739825E-07   0.3900761E-07
TOTAL     0.1698998E-01   0.1597334E-01   0.1618244E-01   0.9843212E-06   0.1764821E-04   0.1764385E-04

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.1964433E-01   0.1964433E-01   0.1964433E-01   0.1138007E-05   0.1772473E-04   0.1772757E-04

